Analgesics,Paracetamol_125g_Tablet x 6,0,0,0
Analgesics,Paracetamol_15ml_Drops x 1,0,0,0
Analgesics,Paracetamol_Injection x 1,0,0,0
Analgesics,Paracetamol_60ml_Syrup x 1,0,0,0
Antibiotics,Cotrimoxazole_50ml_Suspension x 1,0,0,0
Antibiotics,Cotrimoxazole_Tablet x 1,0,0,0
Antibiotics,Amoxycillin_250g_Capsule x 1,0,0,0
Antibiotics,Amoxycillin_100ml_Suspension x 1,0,0,0
Antibiotics,Ampicillin/Cloxacillin_Capsule x 1,0,0,0
Antibiotics,Ampicillin/Cloxacillin_8ml Drops x 1,0,0,0
Antibiotics,Gentamicin_80mg_Injection x 1,0,0,0
Antibiotics,Ampicillin/Cloxacillin_100ml_Suspension x 1,0,0,0
Anti-diarrhea,ORS_Satchet x 1,0,0,0
Anti-diarrhea,Zinc_Tablets x 10,0,0,0
Anti-diarrhea,Zinc+ORS_Copack_Satchet x 1,0,0,0
Anti-Helminthes,Albendazole_200mg_Tablet x 2,0,0,0
Anti-Malaria,AL (Artemether + Lumefantrine)_15ml_Drops x 1,0,0,0
Anti-Malaria,AA (Artesunate 50 mg + Amodiaquine 153.1 mg)_Tablets x 6,0,0,0
Anti-Malaria,AA (Artesunate 50 mg + Amodiaquine 120 mg)_Tablets x 12,0,0,0
Anti-Malaria,AA (Artesunate 50 mg + Amodiaquine 153.1 mg)_Tablets x 24,0,0,0
Anti-Malaria,SP (Sulphadozine 500 mg + Pyrimethamine 25 mg)_Tablets x 3,0,0,0
Anti-Malaria,Rapid Diagnostic Test (RDT) x 1,0,0,0
Anti-Malaria,Artesunate_100ml_Syrup x 1,0,0,0
Antiseptic,Chlorhexidine Gel_4%_20g x 1,0,0,0
Family Planning,IUCD x 1,0,0,0
Family Planning,Implants_3 yrs (Implanon) x 1,0,0,0
Family Planning,Implants_5 yrs (Jadelle) x 1,0,0,0
Family Planning,Oral Contraceptive Pill_Progesterone (Excluton) x,0,0,0
Family Planning,Oral Contraceptive Pill_Progesterone & Oestrogen (Microgynon) x,0,0,0
Family Planning,3_month_Injectable Contraceptive (Depo_Provera) x 1 vial,0,0,0
Family Planning,5_month_Injectable Contraceptive (Noristerat) x 1 vial,0,0,0
Family Planning,Female Condoms x 1,0,0,0
Family Planning,Male Condoms x 1,0,0,0
Maternal,Misoprostol_200mcg_Tablet x 3,0,0,0
Maternal,Folic Acid_Tablet x 1,0,0,0
Maternal,Ferrous Sulfate_Tablet x 1,0,0,0
Steroids,Dexamethasone_4mg_Injection x 1,0,0,0
Supplements,Multivitamin_100ml_Syrup x 1,0,0,0
Supplements,Multivitamin_Tablet x 1,0,0,0
Vaccines,BCG Antigen x 20_doses/vial,1,0,1
Vaccines,Hep. B Antigen x 10_doses/vial,1,0,1
Vaccines,OPV Antigen x 20_doses/vial,1,0,1
Vaccines,Penta Antigen x 10_doses/vial,1,0,1
Vaccines,PCV Antigen x 10_doses/vial,1,0,1
Vaccines,Measles Antigen x 10_doses/vial,1,0,1
Vaccines,Yellow Fever Antigen x 5_doses/vial,1,0,1
Vaccines,Yellow Fever Antigen x 10_doses/vial,1,0,1
Vaccines,Tetanus Toxoid Antigen x 10_doses/vial,1,0,1
Vaccines,BCG Diluent x 1,1,0,1
Vaccines,Measles Diluent x 1,1,0,1
Vaccines,Yellow Fever Diluent x 1,1,0,1
Vaccines,0.5ml Syringes x 1,1,1,1
Vaccines,0.05ml Syringe x 1,1,1,1
Vaccines,2ml AD Syringe x 1,1,1,1
Vaccines,5ml AD Syringe x 1,1,1,1
